"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Hits"
"org.hibernate.internal.SessionImpl.afterTransactionCompletion ()","5,585 ms (0.2%)","5,585 ms (0.2%)","26,269 ms (0%)","26,269 ms (0%)","14"
"com.fasterxml.jackson.core.io.ContentReference.construct ()","5,486 ms (0.2%)","5,486 ms (0.2%)","5,486 ms (0%)","5,486 ms (0%)","2"
"org.apache.catalina.connector.Response.finishResponse ()","5,403 ms (0.2%)","5,403 ms (0.2%)","71,197 ms (0%)","71,197 ms (0%)","21"
"org.apache.tomcat.util.buf.CharChunk.startsWithIgnoreCase ()","5,398 ms (0.2%)","5,398 ms (0.2%)","5,398 ms (0%)","5,398 ms (0%)","1"
"com.zaxxer.hikari.pool.ProxyPreparedStatement.executeQuery ()","5,398 ms (0.2%)","5,398 ms (0.2%)","1,097,954 ms (0.2%)","617,355 ms (0.1%)","491"
"org.hibernate.query.internal.QueryOptionsImpl.<init> ()","5,398 ms (0.2%)","5,398 ms (0.2%)","5,398 ms (0%)","5,398 ms (0%)","1"
"com.example.sns_project.service.CommentService.buildCommentHierarchy ()","5,398 ms (0.2%)","5,398 ms (0.2%)","184,321 ms (0%)","146,141 ms (0%)","112"
"org.apache.tomcat.util.http.MimeHeaders.values ()","5,398 ms (0.2%)","5,398 ms (0.2%)","10,410 ms (0%)","10,410 ms (0%)","6"
"org.hibernate.sql.results.graph.entity.AbstractEntityInitializer.resolveKey ()","5,398 ms (0.2%)","5,398 ms (0.2%)","42,063 ms (0%)","42,063 ms (0%)","20"
"com.example.sns_project.model.User.<init> ()","5,398 ms (0.2%)","5,398 ms (0.2%)","10,002 ms (0%)","10,002 ms (0%)","2"
"org.hibernate.sql.exec.internal.JdbcParameterBindingsImpl.<init> ()","5,398 ms (0.2%)","5,398 ms (0.2%)","5,398 ms (0%)","5,398 ms (0%)","2"
"org.hibernate.sql.results.graph.entity.internal.AbstractNonJoinedEntityFetch.getFetchedMapping ()","5,392 ms (0.2%)","5,392 ms (0.2%)","5,392 ms (0%)","5,392 ms (0%)","2"
"org.hibernate.event.internal.AbstractFlushingEventListener$$Lambda$2842.0x0000000801b3bcf0.accept ()","5,338 ms (0.2%)","5,338 ms (0.2%)","5,338 ms (0%)","5,338 ms (0%)","4"
"org.apache.tomcat.util.buf.MessageBytes.equalsIgnoreCase ()","5,324 ms (0.2%)","5,324 ms (0.2%)","5,324 ms (0%)","5,324 ms (0%)","6"
"io.micrometer.core.instrument.Tags.tagsEqual ()","5,210 ms (0.2%)","5,210 ms (0.2%)","5,210 ms (0%)","5,210 ms (0%)","2"
"org.hibernate.sql.results.jdbc.internal.JdbcValuesMappingProducerStandard.resolve ()","5,197 ms (0.2%)","5,197 ms (0.2%)","5,992 ms (0%)","5,992 ms (0%)","3"
"com.zaxxer.hikari.pool.HikariProxyResultSet.next ()","5,197 ms (0.2%)","5,197 ms (0.2%)","8,497 ms (0%)","8,497 ms (0%)","2"
"com.fasterxml.jackson.core.json.UTF8StreamJsonParser._finishString2 ()","5,187 ms (0.2%)","5,187 ms (0.2%)","5,187 ms (0%)","5,187 ms (0%)","1"
"org.hibernate.query.spi.AbstractSelectionQuery.afterQuery ()","5,187 ms (0.2%)","5,187 ms (0.2%)","5,187 ms (0%)","5,187 ms (0%)","1"
"org.hibernate.query.sqm.tree.domain.AbstractSqmPath.getRealParentPath ()","5,187 ms (0.2%)","5,187 ms (0.2%)","5,187 ms (0%)","5,187 ms (0%)","1"
"org.hibernate.sql.results.internal.RowProcessingStateStandardImpl.getQueryOptions ()","5,108 ms (0.2%)","5,108 ms (0.2%)","5,108 ms (0%)","5,108 ms (0%)","3"
"org.hibernate.sql.results.graph.entity.AbstractEntityInitializer.getEntityFromExecutionContext ()","5,103 ms (0.2%)","5,103 ms (0.2%)","5,103 ms (0%)","5,103 ms (0%)","2"
"io.micrometer.core.instrument.Counter.builder ()","5,099 ms (0.2%)","5,099 ms (0.2%)","5,099 ms (0%)","5,099 ms (0%)","1"
"io.micrometer.core.instrument.Tag.of ()","5,099 ms (0.2%)","5,099 ms (0.2%)","5,099 ms (0%)","5,099 ms (0%)","1"
"org.apache.coyote.Request.action ()","5,089 ms (0.2%)","5,089 ms (0.2%)","9,498 ms (0%)","9,498 ms (0%)","2"
"org.apache.coyote.http11.filters.VoidInputFilter.setBuffer ()","5,089 ms (0.2%)","5,089 ms (0.2%)","5,089 ms (0%)","5,089 ms (0%)","1"
"com.example.sns_project.model.User$HibernateProxy$dz01j3w8.getHibernateLazyInitializer ()","5,089 ms (0.2%)","5,089 ms (0.2%)","9,300 ms (0%)","9,300 ms (0%)","2"
"org.apache.tomcat.util.net.SocketWrapperBase.decrementKeepAlive ()","4,912 ms (0.2%)","4,912 ms (0.2%)","4,912 ms (0%)","4,912 ms (0%)","1"
"io.micrometer.common.KeyValue.compareTo ()","4,912 ms (0.2%)","4,912 ms (0.2%)","4,912 ms (0%)","4,912 ms (0%)","2"
"org.hibernate.internal.SessionImpl.unwrap ()","4,912 ms (0.2%)","4,912 ms (0.2%)","4,912 ms (0%)","4,912 ms (0%)","1"
"org.hibernate.query.sqm.sql.internal.SqmParameterInterpretation.determineResolvedExpression ()","4,912 ms (0.2%)","4,912 ms (0.2%)","4,912 ms (0%)","4,912 ms (0%)","1"
"org.hibernate.loader.internal.IdentifierLoadAccessImpl.load ()","4,801 ms (0.2%)","4,801 ms (0.2%)","250,506 ms (0%)","190,197 ms (0%)","191"
"com.fasterxml.jackson.databind.type.TypeFactory._fromClass ()","4,801 ms (0.2%)","4,801 ms (0.2%)","16,272 ms (0%)","16,272 ms (0%)","6"
"io.micrometer.core.instrument.Meter$Id.<init> ()","4,801 ms (0.2%)","4,801 ms (0.2%)","4,801 ms (0%)","4,801 ms (0%)","1"
"org.hibernate.engine.transaction.internal.TransactionImpl.isActive ()","4,801 ms (0.2%)","4,801 ms (0.2%)","4,801 ms (0%)","4,801 ms (0%)","1"
"org.apache.tomcat.util.buf.AbstractChunk.indexOf ()","4,801 ms (0.2%)","4,801 ms (0.2%)","4,801 ms (0%)","4,801 ms (0%)","1"
"org.hibernate.sql.results.internal.InitializersList.resolveInstances ()","4,796 ms (0.2%)","4,796 ms (0.2%)","526,000 ms (0.1%)","526,000 ms (0.1%)","181"
"com.fasterxml.jackson.databind.deser.std.BaseNodeDeserializer._deserializeContainerNoRecursion ()","4,789 ms (0.2%)","4,789 ms (0.2%)","26,160 ms (0%)","26,160 ms (0%)","8"
"org.hibernate.collection.spi.AbstractPersistentCollection.unsetSession ()","4,744 ms (0.2%)","4,744 ms (0.2%)","4,744 ms (0%)","4,744 ms (0%)","4"
"org.hibernate.sql.results.spi.ListResultsConsumer.consume ()","4,721 ms (0.2%)","4,721 ms (0.2%)","2,839,297 ms (0.5%)","2,409,299 ms (0.5%)","2,458"
"org.hibernate.type.ManyToOneType.isDirty ()","4,715 ms (0.2%)","4,715 ms (0.2%)","4,715 ms (0%)","4,715 ms (0%)","2"
"org.hibernate.engine.internal.StatefulPersistenceContext.forEachCollectionEntry ()","4,698 ms (0.2%)","4,698 ms (0.2%)","63,696 ms (0%)","63,696 ms (0%)","22"
"org.hibernate.sql.results.graph.entity.AbstractEntityInitializer.<init> ()","4,688 ms (0.2%)","4,688 ms (0.2%)","30,186 ms (0%)","29,592 ms (0%)","28"
"io.micrometer.core.instrument.distribution.TimeWindowMax.record ()","4,686 ms (0.2%)","4,686 ms (0.2%)","4,986 ms (0%)","4,986 ms (0%)","6"
"org.hibernate.metamodel.internal.EntityInstantiatorPojoStandard.instantiate ()","4,679 ms (0.2%)","4,679 ms (0.2%)","28,390 ms (0%)","28,390 ms (0%)","12"
"org.hibernate.sql.results.graph.entity.internal.EntityAssembler.assemble ()","4,671 ms (0.2%)","4,671 ms (0.2%)","4,671 ms (0%)","4,671 ms (0%)","4"
"org.hibernate.event.internal.DefaultFlushEntityEventListener.onFlushEntity ()","4,617 ms (0.2%)","4,617 ms (0.2%)","290,007 ms (0%)","289,796 ms (0.1%)","114"
"org.hibernate.type.CollectionType.getAssociatedEntityName ()","4,617 ms (0.2%)","4,617 ms (0.2%)","4,917 ms (0%)","4,917 ms (0%)","2"
"io.micrometer.core.instrument.Tags.hashCode ()","4,617 ms (0.2%)","4,617 ms (0.2%)","4,617 ms (0%)","4,617 ms (0%)","1"
"io.micrometer.core.instrument.Tags.of ()","4,617 ms (0.2%)","4,617 ms (0.2%)","14,625 ms (0%)","14,625 ms (0%)","6"
"org.apache.catalina.core.StandardWrapperValve.invoke ()","4,603 ms (0.2%)","4,603 ms (0.2%)","18,784,749 ms (3.2%)","16,583,450 ms (3.6%)","2,132"
"com.example.sns_project.service.PostService$$SpringCGLIB$$0.getPostById ()","4,603 ms (0.2%)","4,603 ms (0.2%)","3,258,201 ms (0.6%)","2,808,865 ms (0.6%)","1,131"
"org.apache.tomcat.util.http.parser.Host.parse ()","4,603 ms (0.2%)","4,603 ms (0.2%)","9,297 ms (0%)","9,297 ms (0%)","5"
"org.hibernate.query.sqm.internal.SqmInterpretationsKey.isCacheable ()","4,603 ms (0.2%)","4,603 ms (0.2%)","5,109 ms (0%)","5,109 ms (0%)","2"
"org.hibernate.engine.internal.Cascade.cascadeCollectionElements ()","4,603 ms (0.2%)","4,603 ms (0.2%)","121,725 ms (0%)","121,725 ms (0%)","52"
