"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Hits"
"org.hibernate.internal.JdbcObserverImpl.jdbcPrepareStatementStart ()","1,010 ms (0.2%)","1,010 ms (0.2%)","1,010 ms (0%)","1,010 ms (0%)","1"
"org.hibernate.engine.spi.CascadeStyles$MultipleCascadeStyle.doCascade ()","1,008 ms (0.2%)","1,008 ms (0.2%)","1,008 ms (0%)","1,008 ms (0%)","1"
"org.hibernate.query.sqm.tree.domain.SqmSingularJoin.copy ()","1,007 ms (0.2%)","1,007 ms (0.2%)","1,007 ms (0%)","1,007 ms (0%)","2"
"org.hibernate.persister.entity.AbstractEntityPersister.getPropertyValues ()","1,007 ms (0.2%)","1,007 ms (0.2%)","15,376 ms (0%)","15,376 ms (0%)","19"
"io.lettuce.core.protocol.CommandHandler.isWriteable ()","1,007 ms (0.2%)","1,007 ms (0.2%)","1,007 ms (0%)","1,007 ms (0%)","1"
"org.apache.catalina.connector.ResponseFacade.isCommitted ()","1,007 ms (0.2%)","1,007 ms (0.2%)","1,007 ms (0%)","1,007 ms (0%)","1"
"org.hibernate.sql.results.graph.basic.BasicResult.<init> ()","1,007 ms (0.2%)","1,007 ms (0.2%)","1,007 ms (0%)","1,007 ms (0%)","3"
"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer.findSymbol ()","1,005 ms (0.2%)","1,005 ms (0.2%)","1,005 ms (0%)","1,005 ms (0%)","1"
"org.apache.catalina.connector.Request.getServletPath ()","1,005 ms (0.2%)","1,005 ms (0.2%)","1,005 ms (0%)","1,005 ms (0%)","1"
"org.hibernate.event.internal.DefaultInitializeCollectionEventListener.onInitializeCollection ()","1,005 ms (0.2%)","1,005 ms (0.2%)","777,128 ms (0%)","667,396 ms (0.8%)","1,017"
"org.apache.tomcat.util.buf.MessageBytes.toBytesSimple ()","1,003 ms (0.2%)","1,003 ms (0.2%)","1,003 ms (0%)","1,003 ms (0%)","1"
"org.hibernate.internal.SessionImpl.initializeCollection ()","997 ms (0.1%)","997 ms (0.1%)","778,691 ms (0%)","668,959 ms (0.8%)","1,019"
"io.netty.util.internal.ReferenceCountUpdater.tryFinalRelease0 ()","985 ms (0.1%)","985 ms (0.1%)","985 ms (0%)","985 ms (0%)","1"
"org.hibernate.sql.results.graph.entity.AbstractEntityInitializer.getEntityFromExecutionContext ()","972 ms (0.1%)","972 ms (0.1%)","972 ms (0%)","972 ms (0%)","1"
"org.apache.tomcat.util.collections.SynchronizedStack.pop ()","952 ms (0.1%)","952 ms (0.1%)","952 ms (0%)","952 ms (0%)","1"
"org.jboss.logging.Logger.trace ()","929 ms (0.1%)","929 ms (0.1%)","3,999 ms (0%)","3,999 ms (0%)","5"
"org.hibernate.LockOptions.makeCopy ()","923 ms (0.1%)","923 ms (0.1%)","923 ms (0%)","923 ms (0%)","1"
"org.hibernate.event.spi.MergeContext.put ()","911 ms (0.1%)","911 ms (0.1%)","911 ms (0%)","911 ms (0%)","1"
"org.apache.catalina.connector.Request.removeAttribute ()","910 ms (0.1%)","910 ms (0.1%)","1,811 ms (0%)","1,811 ms (0%)","2"
"org.apache.catalina.connector.Request.getAttribute ()","910 ms (0.1%)","910 ms (0.1%)","1,821 ms (0%)","1,821 ms (0%)","3"
"org.hibernate.collection.spi.AbstractPersistentCollection.initialize ()","905 ms (0.1%)","905 ms (0.1%)","778,691 ms (0%)","668,959 ms (0.8%)","1,020"
